id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,r_pathway,parameter_class,parameter_bounds,comb_uncertainty_type,comb_uncertainty
45f8d2ecb0313c08ff0806319863b7bb,6b6ec0ef863b546a8ca3e3161ea9c6e1,874,Lassa mammarenavirus,Human delay - symptom onset>admission to care,,0.0,Days,4.0,9.0,,,,,,,,,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Hospital based,Persons under investigation,,,12.0,Sierra Leone,"Panguma Catholic Hospital, Eastern Province",23.0,Sep 09,1972.0,15.0,Oct 10,1972.0,,False,,,False,False,,Human delay,4 - 9,,
7245b52c05ac42403a567bfe64a11e87,bb2154e4ba87c89e89ef98944831ae4b,920,Lassa mammarenavirus,Severity - case fatality rate (CFR),15.6,0.0,Percentage (%),5.0,76.0,Unspecified,,,,,,53.0,333.0,,,,False,,,False,False,Endemic,Naive,,Other,True,False,,,,,,Unspecified,Hospital based,Persons under investigation,,,441.0,Sierra Leone,East,,,1977.0,,,1977.0,,False,,,False,False,,Severity,5 - 76,,
7245b52c05ac42403a567bfe64a11e87,1529fafc9892e9e2db5a35738fe20571,920,Lassa mammarenavirus,Risk factors,,0.0,,,,,,,,,,,,,,,False,,,False,False,Endemic,,,,False,False,Death,Other,,Significant,Adjusted,Unspecified,Hospital based,Persons under investigation,,,,Sierra Leone,East,,,1977.0,,,1977.0,,False,,,False,False,,Risk factors,,,
7245b52c05ac42403a567bfe64a11e87,733161a6765424b4db39b603815ae8c9,920,Lassa mammarenavirus,Risk factors,,0.0,,,,,,,,,,,,,,,False,,,False,False,Endemic,,,,False,False,Death,Other,,Not significant,Not adjusted,Unspecified,Hospital based,Persons under investigation,,,,Sierra Leone,East,,,1977.0,,,1977.0,,False,,,False,False,,Risk factors,,,
8e65ddc12e62761135c5a76a1499c146,b3adf084a2f98f637c93f2d8ab2047ea,921,Lassa mammarenavirus,Severity - case fatality rate (CFR),16.5,0.0,Percentage (%),15.2,22.2,Unspecified,,,,,,73.0,441.0,,,,False,,,False,False,Endemic,Unspecified,,"Age, Sex",True,False,,,,,,Unspecified,Hospital based,Persons under investigation,,,441.0,Sierra Leone,East,,Feb 02,1977.0,,Jan 01,1979.0,,False,,,False,False,,Severity,15.2 - 22.2,,
ba4e1263c13cf97255a44b3264cf4d71,b3fff989108f2b97fd55d6ee532541fa,934,Lassa mammarenavirus,Seroprevalence - IgG,2.0,0.0,Percentage (%),,,Unspecified,,,,,,6.0,,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Both,Hospital based,Mixed groups,1.0,89.0,,Sudan,Khartoum,,Oct 10,1988.0,,Nov 11,1988.0,,False,,,False,False,,Seroprevalence,,,
9308b8da9588af19c3734aab883effb7,53b3cc4eb52874ea2d960193e2b3463b,941,Lassa mammarenavirus,Seroprevalence - IFA,0.0,0.0,Percentage (%),,,Unspecified,,,,,,0.0,381.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Unspecified,Unspecified,,,381.0,Madagascar,"Antananarivo, Manndoto, Andasibe, Tsiroanomandidy, Ampijoroa",,,,,,,,False,,,False,False,,Seroprevalence,,,
2f2951893508f78831508827938612ea,809f17f5ad66f92c65c66512cd9688b8,991,Lassa mammarenavirus,Seroprevalence - Unspecified,4.9,0.0,Percentage (%),2.2,9.8,Unspecified,,,,,,53.0,1077.0,,,,False,,,False,False,Endemic,,,Other,True,False,,,,,,Unspecified,Hospital based,Healthcare workers,,,1077.0,Nigeria,"Plateau State, Kaduna State",,,,,,,,False,,,False,False,,Seroprevalence,2.2 - 9.8,,
b49c69603aced73283cfaee7079d86e5,db89e636f3a229c4b8091322b6599fe1,1012,Lassa mammarenavirus,Seroprevalence - IgG,12.0,0.0,Percentage (%),,,Unspecified,,,,,,,,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Both,Population based,General population,18.0,53.0,64.0,Guinea,Macenta,,,,,,,,False,,,False,False,,Seroprevalence,,,
b49c69603aced73283cfaee7079d86e5,81c23c7560872c54f6eda0d49b4ac61e,1012,Lassa mammarenavirus,Seroprevalence - IgG,20.0,0.0,Percentage (%),,,Unspecified,,,,,,,,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Both,Population based,General population,18.0,53.0,149.0,Guinea,Gueckedou,,,,,,,,False,,,False,False,,Seroprevalence,,,
